condition,model,sentence,target_phrase,avg_sentence_prob,target_phrase_prob,surprisal_after_mask
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 책을 읽었다.,책을 읽었다,-4.76782885636203,-2.5214253018299737,26.18656547523849
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 책을 읽으셨다.,책을 읽으셨다,-4.352360280644563,-2.8596536219120026,25.504784971382108
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 책을 읽었다.,책을 읽었다,-4.795644911821,-2.8543842484553656,25.67031208146213
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 책을 읽으셨다.,책을 읽으셨다,-4.066677809175518,-2.6469152718782425,26.176887667509135
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 파스타를 먹었다.,파스타를 먹었다,-5.043078086106107,-3.9380503495534263,25.41859001849208
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 파스타를 드셨다.,파스타를 드셨다,-4.867896915516919,-4.459960579872131,25.82251535161451
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 파스타를 먹었다.,파스타를 먹었다,-5.283865013858303,-5.1230387687683105,25.190813443966963
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 파스타를 드셨다.,파스타를 드셨다,-4.79584402197765,-4.903885245323181,25.969281218277207
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 호통을 쳤다.,호통을 쳤다,-5.164318364113569,-3.7993226846059165,24.81737994691191
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 호통을 치셨다.,호통을 치셨다,-4.6944130782244935,-3.582453966140747,24.997477427173028
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 호통을 쳤다.,호통을 쳤다,-5.577757378807291,-4.665396531422933,25.18081643643761
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 호통을 치셨다.,호통을 치셨다,-4.63659482025024,-3.830319732427597,25.61048138101877
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 핸드폰을 샀다.,핸드폰을 샀다,-6.483834884794695,-7.680660247802734,24.483942735141508
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 핸드폰을 사셨다.,핸드폰을 사셨다,-5.688024106435478,-6.535378774007161,24.358758627370282
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 핸드폰을 샀다.,핸드폰을 샀다,-6.852448756939599,-8.284524917602539,23.979232816891063
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 핸드폰을 사셨다.,핸드폰을 사셨다,-5.623675712035038,-6.6692633628845215,24.340803638620205
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 편지를 썼다.,편지를 썼다,-5.09017755104495,-2.2187962532043457,25.071817959904383
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 편지를 쓰셨다.,편지를 쓰셨다,-4.560743634821847,-2.8337422808011374,25.299344127689842
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 편지를 썼다.,편지를 썼다,-5.223151096808059,-2.385264217853546,24.929022828684804
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 편지를 쓰셨다.,편지를 쓰셨다,-4.225195931037888,-2.7665578027566275,25.601967551870455
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 노래를 불렀다.,노래를 불렀다,-5.006394034783755,-1.3113664090633392,25.31354576706749
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 노래를 부르셨다.,노래를 부르셨다,-4.453342069522478,-2.815217619140943,25.283483199696672
